City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,mehran,33.1222,46.1646,28.58,29,95,2.48,IR,1713792428
349,sestri levante,44.2732,9.3968,8.46,77,100,4.47,IT,1713792429
350,leua,48.2156,18.6071,8.64,77,86,0.76,SK,1713792430
351,tenno,39.9,139.9667,11.78,68,33,4.66,JP,1713792430
352,sretensk,52.2453,117.7093,2.48,99,100,1.12,RU,1713792431
353,kismayo,-0.3582,42.5454,29.14,76,100,5.68,SO,1713792432
354,balaipungut,1.05,101.2833,26.08,93,100,0.75,ID,1713792433
355,kapa'a,22.0752,-159.319,22.11,67,55,7.1,US,1713792434
356,sarmiento,-45.5882,-69.07,6.3,43,100,2.84,AR,1713792435
357,lihue,21.9789,-159.3672,21.36,69,31,6.77,US,1713792436
358,illapel,-31.6308,-71.1653,13.62,81,3,1.0,CL,1713792372
359,mejit,10.2753,170.8646,27.28,86,71,8.67,MH,1713792437
360,kingori,-3.2833,36.9833,26.05,62,100,3.15,TZ,1713792438
361,carbonear,47.7332,-53.2148,5.28,78,100,2.95,CA,1713792439
362,usogorsk,63.4106,48.6872,0.2,77,99,4.91,RU,1713792441
